Word,Meaning
musty,stale (in odor or taste); spoiled by age; CF. moist
mutablility,ability to change in form; fickleness; ADJ. mutable: able to change; fickle; CF. mutate; CF. mutant
mute,silent; without speech; not pronounc ed; unable to speak; N: one who
muted,silent; muffled; toned down; Ex. muted traffic noise
mutilate,maim; injure lastingly; depr ive of a limb or an essential part
mutinous,unruly; rebellious; Ex. m utinous teenagers; N. mutiny: open
mutter,utter (complaining words) indistinctly in low tones
myopic,nearsighted; lacking foresight; N. myopia
myriad,very large number; ADJ. CF. ten thousand
mystic,of hidden meaning and spiritual power; Ex. mystic ceremonies; N.
