Word,Meaning
stalemate,deadlock; situation in which further action is blocked
stalwart,physically strong; brawny; steadfast; strong in mind or
stamina,power of endurance; strength; staying power
stammer,speak with involunt arily pauses or repetitions
stamp,step on heavily (so as to crush or extinguish); put an end to;
stampede,sudden frenzied rush (of panic-stricken animals or people); V: participate in or cause stampede; Ex. stampede before the price
stanch,stop or check flow of blood; Ex. stanch the gushing wound
standstill,condition of no movement or activity; stop
stanza,division of a poem (composed of two or more lines)
start,move suddenly or involuntarily; Ex. start at the sight of a snake
stately,formal; ceremonious; gr and in style or size; majestic
static,having no motion; unchanging; lacking development; N. stasis:
statute,law enacted by the legislature
statutory,created by statute or legislative action; regulated by statute; Ex.
steadfast,steadily loyal; unswerving; steady
stealth,action of moving secretly or unseen; slyness; sneakiness; secretiveness; ADJ. stealthy
steep,soak; saturate; Ex. steep the fabric in the dye bath; ADJ:
stellar,pertaining to the stars; of a star performer; outstanding; Ex.
stem,stop or check (the flow of); Ex. stem the bleeding from the
stem_from,arise from; originate from
stench,strong foul odor; reek; stink
stentorian,(of the voice) extremely loud; CF. Stentor: a loud herald in the Iliad
stereotype,one regarded as embodying a set image or type; fixed and
unvarying representation; standardized mental picture often reflecting prejudice; Ex. stereotype,of the happy slave; V: make a
sterile,incapable of producing young; free from microorganism; V. sterilize
stickler,perfectionist; person wh o insists things be exactly right
stifle,suppress; extinguish; inhibit; smother or suffocate
stigma,token of disgrace; brand; V. stigmatize: mark with a stigma;
stilted,bombastic; stiffly pompous; Ex . stilted rhetoric; CF. stiff: formal
stink,stench; V: emit a strong foul odor
stint,supply; allotted amount of work; assigned portion of work; limitation; Ex. two-year stint in the army; Ex. without stint
stipend,pay for services
stipple,paint or draw with dots or short strokes
stipulate,state as a necessary condition (of an agreement); make express conditions; specify; Ex. He stipulated payment in advance
stock,standard; kept regularly in stock  or supply; typical; routine;
stockade,wooden enclosure or pen; fixed line of posts used as defensive
stodgy,dull; stuffy; boringly conservative; Ex. stodgy book
stoic,stoical; impassive; unmoved by  joy or grief; N. CF. stoicism
stoke,stir up a fire or furnace; feed plentifully
stolid,dull; impassive; showing little emotion when strong feelings are expected
stoop,bend forward and down; lower or debase oneself; fall to a lower
stout,rather fat; strong in body; sturdy; resolute; determined; strong in
straggle,stray or fall behind (a main gr oup); spread out in a scattered
strangle,kill by choking or suffocating; suppress
stratagem,deceptive scheme; clever trick
stratified,divided into classes; arranged into strata; V. stratify
stratum,layer of earth's surface;  layer of society; PL. strata
strew,spread randomly; sprinkle; scatter;  Ex. flower girl strewing rose
